# File: 6_asses.masses_E6Proxy
# Processed: 2025-08-21T22:17:44.729Z
# Sheets: 8

RowNumber,SheetName,Context,Key,Utterer,SourceEnglish,TranslatedDutch,ProcessedAt
2,E6_EpisodeTitle_localization,"","Lorem ipsum dolor sit amet, consecteturew adipiscing elit. Nulla id sapien ut metus duba dapibus auctor. Nunc blandit in fermentumm",WRITE.Dialog:Localizer.5,EPISODE SIX,"Lorem ipsum dolor sit amet, consecteturew adipiscing elit. Nulla id sapien ut metus duba dapibus auctor. Nunc blandit in fermentumm",2025-08-21T22:17:44.729Z
3,E6_EpisodeTitle_localization,"","",WRITE.Dialog:Localizer.7,THE DREAM,"",2025-08-21T22:17:44.729Z
4,E6_EpisodeTitle_localization,"","",WRITE.Dialog:Localizer.8,Press X to Begin,"",2025-08-21T22:17:44.729Z
3,E6_Nightmare_localization,Hard Ass wakes up to a hit on the head via Jenny.,"",SAY.Dialog:Jenny_Intro.20.Miner Jenny,No sleeping on the job you useless donkey!,"",2025-08-21T22:17:44.729Z
4,E6_Nightmare_localization,"","",SAY.Dialog:Jenny_Intro.37.Miner Jenny,I'm working overtime too—you don't see ME nodding off.,"",2025-08-21T22:17:44.729Z
5,E6_Nightmare_localization,"","",SAY.Dialog:Jenny_Intro.43.Miner Jenny,You're with me on Level 300 today!,"",2025-08-21T22:17:44.729Z
6,E6_Nightmare_localization,"","",SAY.Dialog:Jenny_Intro.48.Miner Jenny,At least I don't have to be with that lazy donkey.,"",2025-08-21T22:17:44.729Z
7,E6_Nightmare_localization,Jenny leaves and Hard Ass is free to roam around the Mines and talk to the others.,"",SAY.Dialog:Jenny_Intro.49.Miner Jenny,I'm done wasting my time on slackers!,"",2025-08-21T22:17:44.729Z
8,E6_Nightmare_localization,Start NPC dialogue.,"",SAY.Dialog:Kick_Normal.20.Kick Ass,COMRADE!,"",2025-08-21T22:17:44.729Z
9,E6_Nightmare_localization,"","",SAY.Dialog:Kick_Normal.34.Kick Ass,Thanks for working with Jenny today.,"",2025-08-21T22:17:44.729Z
10,E6_Nightmare_localization,"","",SAY.Dialog:Kick_Normal.33.Kick Ass,Lazy could NOT handle another shift with HER.,"",2025-08-21T22:17:44.729Z
11,E6_Nightmare_localization,End NPC dialogue.,"",SAY.Dialog:Kick_Normal.35.Kick Ass,Sick and I just finished moving the last piece of that new Boring-Machine—and @#$%&! it's HEAVY.,"",2025-08-21T22:17:44.729Z
12,E6_Nightmare_localization,Repeater line.,"",SAY.Dialog:Kick_Normal.21.Kick Ass,No way that Boring-Machine can BLAST through a day of work LIKE WE CAN.,"",2025-08-21T22:17:44.729Z
13,E6_Nightmare_localization,NPC Dialogue (single line). Repeater line.,"",SAY.Dialog:Sick_Normal.20.Sick Ass,*COUGH*,"",2025-08-21T22:17:44.729Z
14,E6_Nightmare_localization,Start NPC dialogue.,"",SAY.Dialog:Butte_Normal.20.Mr. Butte,My favourite donkey!,"",2025-08-21T22:17:44.729Z
15,E6_Nightmare_localization,"","",SAY.Dialog:Butte_Normal.36.Mr. Butte,Are you ready for the big day?,"",2025-08-21T22:17:44.729Z
