# File: 1_asses.masses_E1Proxy
# Processed: 2025-12-29T08:53:10.588Z
# Sheets: 12

RowNumber,SheetName,Context,Key,Utterer,SourceEnglish,TranslatedDutch,ProcessedAt
3,E1_EpisodeTitle_localization,Title screen UI.,,WRITE.Dialog:Localizer.5,EPISODE ONE,AFLEVERING ÉÉN,2025-12-29T08:53:10.588Z
4,E1_EpisodeTitle_localization,Title screen UI.,,WRITE.Dialog:Localizer.7,THE PROTEST,HET PROTEST,2025-12-29T08:53:10.588Z
3,E1_Stable1F_localization,The scene fades up from black to see Old Ass giving a lecture to Trusty Ass.,,SAY.Dialog: 1_OldAss_StartGame.4.Old Ass,"... ... Trusty Ass? Comrade, are you listening?","Hè (Trusty Ass)? Kameraad, hoor je me?",2025-12-29T08:53:10.588Z
4,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.5.Old Ass,Now where was I... Right... I was lamenting the struggles of our existence.,"Waar was ik... Juist, ik was bezig me de realiteit van ons bestaan te beklagen.",2025-12-29T08:53:10.588Z
5,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.7.Old Ass,"Despite thousands of years of service to Humans, our Herd has lost our work.","Ondanks duizenden jaren dienst aan de Mens, heeft onze Kudde ons werk verloren.",2025-12-29T08:53:10.588Z
6,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.8.Old Ass,"We have been reduced to spectators, while wretched Machines do OUR jobs in OUR beloved fields.","We staan te gapen terwijl vervloekte Machines ONS werk in ONZE velden, van ons afpakken.",2025-12-29T08:53:10.588Z
7,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.10.Old Ass,No longer will we suffer these INJUSTICES!,Wij pikken die onrechtvaardigheid voor geen seconde langer.,2025-12-29T08:53:10.588Z
8,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.16.Old Ass,It is high time the Humans remember how useful we've always been.,Het is tijd om de Mensen er aan te herinneren hoe belangrijk en nuttig wij Ezels voor hun zijn geweest.,2025-12-29T08:53:10.588Z
9,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.11.Old Ass,To return to us the recognition and respect we deserve!,"Het is tijd om het respect en aanzien, dat we verdienen, terug te vorderen.",2025-12-29T08:53:10.588Z
10,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.22.Old Ass,Tomorrow we will make history with our very first PROTEST.,Morgen schrijven we geschiedenis met onze allereerste PROTEST.,2025-12-29T08:53:10.588Z
11,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.13.Old Ass,"Now young Comrade, good group morale is instrumental to a Protest.","Jonge Kameraad, een goede sfeer binnen onze ploeg is cruciaal voor ons Protest.",2025-12-29T08:53:10.588Z
12,E1_Stable1F_localization,,,SAY.Dialog: 1_OldAss_StartGame.17.Old Ass,Use your skills and go check in with the Herd.,Maak gebruik van uw vaardigheden en ga even polsen met de Kudde.,2025-12-29T08:53:10.588Z
13,E1_Stable1F_localization,End of dialogue. Trusty is assigned the task of raising the Herd's morale. Sturdy can run around and explore again.,,SAY.Dialog: 1_OldAss_StartGame.18.Old Ass,Come find me when you're done.,Kom terug wanneer ge klaar bent.,2025-12-29T08:53:10.588Z
14,E1_Stable1F_localization,Repeater line.,,SAY.Dialog: 2_OldAss_MoraleRepeater.4.Old Ass,Come back after you've talked to everyone!,Kom terug wanneer ge met iedereen eens een klapke gedaan hebt.,2025-12-29T08:53:10.588Z
15,E1_Stable1F_localization,Dialogue: Boosting Sturdy's Morale,,SAY.Dialog: STURDY_Aft_BoostMorale.1.Sturdy Ass,Hi Comrade Trusty.,Dag (Trusty Ass).,2025-12-29T08:53:10.588Z
16,E1_Stable1F_localization,,,SAY.Dialog: STURDY_Aft_BoostMorale.2.Sturdy Ass,I pray the Gods will make sure my Foal is born with the Soul of a strong worker.,Ik bid tot de Goden voor een gezond Veulen met de Ziel van een staalharde werker.,2025-12-29T08:53:10.588Z
17,E1_Stable1F_localization,,,SAY.Dialog: STURDY_Aft_BoostMorale.4.Sturdy Ass,I can't bear to think about them growing up in a world cut off from our Herd's traditions.,Het kan me niet over 't hart dat onze veulens in een wereld zonder waarden en normen zullen opgroeien.,2025-12-29T08:53:10.588Z
18,E1_Stable1F_localization,,,SAY.Dialog: STURDY_Aft_BoostMorale.25.Sturdy Ass,But you're right.,Maar je hebt gelijk.,2025-12-29T08:53:10.588Z
19,E1_Stable1F_localization,,,SAY.Dialog: STURDY_Aft_BoostMorale.3.Sturdy Ass,"If we follow Old Ass, we can restore balance to the Farm.",Als we (Old Ass) volgen kunnen we ervoor zorgen dat vrede naar onze Hoeve wederkeert.,2025-12-29T08:53:10.588Z
20,E1_Stable1F_localization,,,SAY.Dialog: STURDY_Aft_BoostMorale.5.Sturdy Ass,"Asses and Humans will work together again, without a Machine in sight!","Ezels en Mensen kunnen weer samenwerken, zonder dat daar een Machine bij aan de pas komt.",2025-12-29T08:53:10.588Z
21,E1_Stable1F_localization,End of dialogue. Sturdy can run around and explore again.,,SAY.Dialog: STURDY_Aft_BoostMorale.10.Sturdy Ass,We can do it!,We kunnen dat!,2025-12-29T08:53:10.588Z
22,E1_Stable1F_localization,Repeater line.,,SAY.Dialog: STURDY_Aft_BoostMorale.21.Sturdy Ass,We can do it!,We kunnen dat!,2025-12-29T08:53:10.588Z
23,E1_Stable1F_localization,Dialogue with Old Ass. After having talked to all the Asses in the Herd (completing the Morale task).,,SAY.Dialog: 3_OldAss_ActivateRest.4.Old Ass,"Exemplary work, Comrade Trusty. Keeping up a group's morale is no easy task.","Puike prestatie, Kameraad (Trusty Ass). De sfeer in orde houden is geen sinecure.",2025-12-29T08:53:10.588Z
24,E1_Stable1F_localization,,,SAY.Dialog: 3_OldAss_ActivateRest.22.Old Ass,"Tomorrow, our waiting will come to an end and we will restore our Herd to its rightful purpose.",Morgen is het wachten voorbij en zullen we onze Kudde weer op hun rechtmatige pad brengen.,2025-12-29T08:53:10.588Z
25,E1_Stable1F_localization,,,SAY.Dialog: 3_OldAss_ActivateRest.7.Old Ass,"Now hit the hay, Comrade.","Nu is 't bedtijd, Kameraad.",2025-12-29T08:53:10.588Z
26,E1_Stable1F_localization,End of dialogue. Sturdy can run around and explore again.,,SAY.Dialog: 3_OldAss_ActivateRest.23.Old Ass,A well earned rest awaits you in the other room.,Geniet van je welverdiende rust.,2025-12-29T08:53:10.588Z
27,E1_Stable1F_localization,Repeater line.,,SAY.Dialog: 3_OldAss_ActivateRest.21.Old Ass,I said hit the hay in the other room! One cannot protest short on sleep.,Ik zei dat 't bedtijd was! Betogen is moeilijk wanneer je een slaapkop hebt.,2025-12-29T08:53:10.588Z
28,E1_Stable1F_localization,Dialogue with Sturdy. After completing the Morale task.,,SAY.Dialog: STURDY_Night.1.Sturdy Ass,Goodnight Trusty! You really care about the Herd and it shows.,"Goeie nacht, (Trusty Ass). Je zit met onze Kudde in en dat zien we.",2025-12-29T08:53:10.588Z
29,E1_Stable1F_localization,,,SAY.Dialog: STURDY_Night.19.Sturdy Ass,*Oof!* Looks like my Foal wishes they could join the Protest tomorrow too.,*Oef* Mijn Veulentje zou graag willen meedoen morgen.,2025-12-29T08:53:10.588Z
30,E1_Stable1F_localization,End of dialogue. Sturdy can run around and explore again.,,SAY.Dialog: STURDY_Night.20.Sturdy Ass,Even my labour pains are in solidarity with the Herd!,Zelfs mijn weeën zijn in solidariteit met onze Kudde.,2025-12-29T08:53:10.588Z
31,E1_Stable1F_localization,Repeater line.,,SAY.Dialog: STURDY_Night.9.Sturdy Ass,Goodnight!,Slaapwel.,2025-12-29T08:53:10.588Z
3,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_TheMines_Dirty.1.Dirty Sign,Butte Industry Coal Mines,Vanscheetvelde Industrie en Kolen,2025-12-29T08:53:10.588Z
4,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_TheMinesEntrance_Warning.1.Warning Sign,364 DAYS SINCE LAST MINING ACCIDENT,364 DAGEN SINDS LAATSTE INCIDENT,2025-12-29T08:53:10.588Z
5,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_WelcomeToFarm_Welcome.1.Welcome Sign,"Welcome to Fannyside Farm. To the west, our beautiful Heritage Stable and wheat fields.",Welkom op de Boerderij van Muilegem. Ten westen: onze prachtige Erfgoedshoeve en korenvelden.,2025-12-29T08:53:10.588Z
6,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_WelcomeToFarm_Welcome.2.Welcome Sign,"To the south, our state of the art Mill and Granary.",Naar 't zuiden: onze hoogmoderne Molen en Graanschuur.,2025-12-29T08:53:10.588Z
7,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_Highway_Official.1.Official Sign,NEW Government Sponsored Highway: Connecting Urban and Rural Communities,NIEW Overheids-gesubsidiëerde snelweg: brengt stedelijke en landelijke regios in verbinding.,2025-12-29T08:53:10.588Z
8,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_MountainPath_Decrepit.1.Decrepit Sign,The Long Way to the Forest Shrine,De Lange Weg Naar 't Schrijn in 't Bos.,2025-12-29T08:53:10.588Z
9,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_MountainPath_Decrepit.6.Decrepit Sign,CLOSED FOR REPAIRS,GESLOTEN WEGENS ONDERHOUD,2025-12-29T08:53:10.588Z
10,E1_Farm_localization,Interactable Object.,,SAY.Sign_Mill_Fancy.1.Fancy Sign,The State of the Art Mill and Granary,De hoogmoderne Molen en Graanschuur.,2025-12-29T08:53:10.588Z
11,E1_Farm_localization,Interactable Object. Sign. Toilet,,SAY.Sign_Outhouse_Shitty.1.Shitty Sign,The Outhouse,De Hudo.,2025-12-29T08:53:10.588Z
12,E1_Farm_localization,Interactable Object. Sign.,,SAY.Sign_TheStable_Old.1.Old Sign,The Heritage Stable,De Erfgoedshoeve,2025-12-29T08:53:10.588Z
